Site;Termo;Título;Preço Total;Fator Calculado;Preço Ref (Kg/Un);Link
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Isolado Baunilha 1.8kg - Darkness;256.0;1.0;256.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AVBe0RBYyog06W%2BcRcDOD%2BvVhoiH6sXYokMtHsR%2B3hv4JAH%2FsvTsgyZ5GfnNEteHseJuIVPpiIAZFDLCdOrag3M0gpW%2BxESmlMBm6GprAilbXJTeZN2mLFtif%2Bd4LeFXW040brwFyUzhCTT10w0VuI%2FzAwYNCoCWU0YqUVW%2B0bFUeps3wGEMxvvZR8cC4lGZiaW6vdih7l2ULknddR65nfcuz%2F3DBuFON7rtMoOq5U9MTzJuomkYZzXiAaHTOR3gHcoupf4P3YVmXbj2aZkaQtMwirczwTXFupgGfwczmCotXu80zD1T5EMVpKRBy5deJ2JNHpg%2BDIaqwYTsLUCBuebFOuUJp3ufIPGEohmG%2FmRjrQ0RquxXvSvnT47sB%2B0VnnY9LTLGlVIQ3HVZh4heVjooZsbjFuD6ehVcFJGuJQIlvHMbnj5TA1IbD2OJiUCV4crlV4VxsqnZgtDN67TSvP%2BT4aCZMUWiHd4JEGwc4B%2Fv9IGWCu%2Br9LMLiI%2Fua8efzt%2ByhnmNFimbQJl%2BIBfu6%2FbhbqYgY0xvU4UxTyFjNGQkKfm1mgwL2%2F7lm1YHMkk9hMJKOA06Fa67S%2FVwX1GwRh89pVcsd1V08w4QFXkRq8b0bHOyiaDNnVFW6jp%2F6ernmq9nIX5E9RaPDEV857gwyFJflvdGK5MB%2FGKJtSxxDo30d5ScIegbLP6%2FFHSA4XWt%2F9GGvBEVaLQD0KWk6UQeR7ZprBUMRPWD6FIWZuL2ObxVyQ83vNQ6K%2FCpvUXpYOxdib1zaFQB1ryvuGFtkL1eyk5ng64m0y2bJKK5m53W1qgfRPuxYe2m5%2BL5afF5ZlSmRUsdEas7RQWc6C2tcvgTaAx%2FOjhuSYAdJVJL89kVZkvH5SXnoXLfTEDDLiO%2B%2BIuuU916tnpAVT8zvn3fMf1qMs1uoWZ9uVpBAyMHhu53Bz5VBWkw47DbOuswg6gQwdMRxp8QPRqs8pkLtck%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB49055772&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4056484835&sid=search
Mercado Livre;Carnibol Baunilha;Kit Carnibol Isolado Baunilha 1.8kg Coqueteleira - Darkness;264.0;1.0;264.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2Fx6vla8eaPkDC5vJ40s0PK1ZrDUMnfz8oQ%2FXSW0SJjTZmtn6lU%2BusW%2Fglb4MuIcxUnhF%2F2gwXw7ClhB840gxAATPofoGHnywR5X%2Fm9u0nvbCoertKMKSFjAj3qnH4%2F8fuLFflhSesgebwx6CD7alKwkVsGpHuKeGksLpTo55et%2FiV4jm4gjzaAU4B%2Fva4%2BKVmQGSgxmCv0lUzuhy4TzA8jt648%2BHtzjg7wzXWpFmnfRDBPLfszh7s5DROPDNAe%2BpLCN3dOKIe%2BiEqgnNq9yYPgaB6UKQ7XmBexTlb1bhW9ReF%2FJugKB24Wxgf%2F%2FlrU5hdiJbrbk643ExVqmK6HsulhqzwvlWMuUC85VqLwjDkpnPsLABx3xFoMIRQj4Z7RMIDMpoMCDKwS4b2lOQpKn5xy5f6QMapEzM25DaWEqTlamPj5lpgC1Cw8O%2FZaz3VGHh8dzen80iWy1%2BL9sK%2FhGLnzofnieC3QiL3p6jzW94ISINX0cZ4%2FYwhzT3kPaDMpDmNvcHGKAxpL6QuLwROLCthP2HZg6O67rifdYUfQqE%2BYuJqzqZaewHJVaDNLBoEnIvSxzFcqtiVXoA%2FfCtUhrYf0FG584pe41xpWvKbvTjsaxr%2B23RhT340IN4ovALNMW1I%2FrUbk0sCTLiXtIKkR4HeX20YZ3jFf2xkqS2Ew3KyPyabXvMBJU1m3gDV6jLsOkPEzLe%2Frv%2BV8ia1NfUbGG92ZhOkBcwmG9hXae0dwKG3CCUI1iwiZnOFGLlzzaeRdPZ1qjhztMIP3dK4GgkUu2nM2WbKsiNTTF66F6FSrzgSv31sZpq42VsL8p2iQSDDb2FyfFXPNGK7vWKrLHm%2BSNFgxjR3k0yMRG6LzSZP7oxOPhreBm6dFoARwIxd1992zfhW%2Bs0hhmCF9%2B%2FW%2BtldNufXgSvu6zbENixP4KV5t1CDGFkO%2B%2FIC9NSabfNm6hocZQZCCyA12wPoHCm2O4pqaGequ20qg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB49487236&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5484175880&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Darkness Integralmédica Sabor Baunilha 900g;132.0;1.0;132.0;https://www.mercadolivre.com.br/carnibol-darkness-integralmedica-sabor-baunilha-900g/p/MLB36625592#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5342549130&sid=search
Mercado Livre;Carnibol Baunilha;Whey Proteína de Carne Carnibol Baunilha 900g Darkness;139.0;1.0;139.0;https://www.mercadolivre.com.br/whey-proteina-de-carne-carnibol-baunilha-900g-darkness/p/MLB36952317#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3905053203&sid=search
Mercado Livre;Carnibol Baunilha;Whey Carnibol Proteína Da Carne 907g Integralmédica Darkness Sabor Baunilha;140.0;1.0;140.0;https://www.mercadolivre.com.br/whey-carnibol-proteina-da-carne-907g-integralmedica-darkness-sabor-baunilha/p/MLB50008608#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4062726607&sid=search
Mercado Livre;Carnibol Baunilha;Whey Proteína de Carne Carnibol Blueberry 900g Darkness;129.0;1.0;129.0;https://www.mercadolivre.com.br/whey-proteina-de-carne-carnibol-blueberry-900g-darkness/p/MLB36103587#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3905066303&sid=search
Mercado Livre;Carnibol Baunilha;Combo 2x Carnibol + 2x Coqueteleira - Darknes Integralmedica;618.0;1.0;618.0;https://www.mercadolivre.com.br/combo-2x-carnibol-2x-coqueteleira-darknes-integralmedica/p/MLB46564805#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5305731452&sid=search
Mercado Livre;Carnibol Baunilha;Proteína Da Carne Carnibol - Darkness (907g) Integralmedica Sabor Baunilha;156.0;1.0;156.0;https://www.mercadolivre.com.br/proteina-da-carne-carnibol-darkness-907g-integralmedica-sabor-baunilha/p/MLB39957269#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4029926619&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Isolado Baunilha 1.8kg - Darkness;256.0;1.0;256.0;https://www.mercadolivre.com.br/carnibol-proteina-isolado-baunilha-18kg-darkness/p/MLB49055772#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4056484835&sid=search
Mercado Livre;Carnibol Baunilha;Kit Carnibol Isolado Baunilha 1.8kg Coqueteleira - Darkness;264.0;1.0;264.0;https://www.mercadolivre.com.br/kit-carnibol-isolado-baunilha-18kg-coqueteleira-darkness/p/MLB49487236#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5484175880&sid=search
